,Date,Count,Offense
606,2020-01-14,16,Assault
607,2020-01-14,3,Vandalism
608,2020-01-15,11,Drugs
609,2020-01-15,9,Fraud
610,2020-01-15,15,Assault
611,2020-01-15,6,Vandalism
612,2020-01-16,7,Drugs
613,2020-01-16,8,Vandalism
614,2020-01-16,7,Fraud
615,2020-01-16,17,Assault
616,2020-01-17,12,Assault
617,2020-01-17,9,Vandalism
618,2020-01-17,2,Fraud
619,2020-01-17,12,Drugs
620,2020-01-18,9,Fraud
621,2020-01-18,2,Drugs
622,2020-01-18,8,Assault
623,2020-01-18,7,Vandalism
624,2020-01-19,14,Assault
625,2020-01-19,8,Vandalism
626,2020-01-19,5,Fraud
627,2020-01-19,2,Drugs
628,2020-01-20,7,Drugs
629,2020-01-20,6,Fraud
630,2020-01-20,10,Assault
631,2020-01-20,6,Vandalism
632,2020-01-21,9,Vandalism
633,2020-01-21,8,Assault
634,2020-01-21,3,Drugs
635,2020-01-21,4,Fraud
636,2020-01-22,7,Fraud
637,2020-01-22,6,Vandalism
638,2020-01-22,7,Drugs
639,2020-01-22,10,Assault
640,2020-01-23,8,Vandalism
641,2020-01-23,6,Drugs
642,2020-01-23,9,Fraud
643,2020-01-23,11,Assault
644,2020-01-24,3,Vandalism
645,2020-01-24,5,Drugs
646,2020-01-24,7,Assault
647,2020-01-24,5,Fraud
648,2020-01-25,16,Assault
649,2020-01-25,6,Fraud
650,2020-01-25,9,Vandalism
651,2020-01-25,5,Drugs
652,2020-01-26,4,Fraud
653,2020-01-26,20,Assault
654,2020-01-26,12,Vandalism
655,2020-01-26,4,Drugs
656,2020-01-27,8,Vandalism
657,2020-01-27,5,Drugs
658,2020-01-27,8,Fraud
659,2020-01-27,15,Assault
660,2020-01-28,7,Fraud
661,2020-01-28,5,Vandalism
662,2020-01-28,10,Drugs
663,2020-01-28,9,Assault
664,2020-01-29,3,Fraud
665,2020-01-29,11,Assault
666,2020-01-29,3,Drugs
667,2020-01-29,6,Vandalism
668,2020-01-30,12,Assault
669,2020-01-30,5,Drugs
670,2020-01-30,8,Fraud
671,2020-01-30,4,Vandalism
672,2020-01-31,8,Fraud
673,2020-01-31,5,Drugs
674,2020-01-31,19,Assault
675,2020-01-31,6,Vandalism
676,2020-02-01,6,Vandalism
677,2020-02-01,10,Fraud
678,2020-02-01,8,Assault
679,2020-02-01,4,Drugs
680,2020-02-02,7,Fraud
681,2020-02-02,15,Assault
682,2020-02-02,1,Drugs
683,2020-02-02,6,Vandalism
684,2020-02-03,9,Drugs
685,2020-02-03,15,Assault
686,2020-02-03,7,Fraud
687,2020-02-03,8,Vandalism
688,2020-02-04,9,Drugs
689,2020-02-04,12,Fraud
690,2020-02-04,8,Vandalism
691,2020-02-04,15,Assault
692,2020-02-05,6,Drugs
693,2020-02-05,13,Assault
694,2020-02-05,5,Vandalism
695,2020-02-05,9,Fraud
696,2020-02-06,9,Fraud
697,2020-02-06,8,Drugs
698,2020-02-06,12,Assault
699,2020-02-06,5,Vandalism
700,2020-02-07,4,Fraud
701,2020-02-07,8,Vandalism
702,2020-02-07,9,Drugs
703,2020-02-07,9,Assault
704,2020-02-08,4,Drugs
705,2020-02-08,8,Fraud
706,2020-02-08,13,Assault
707,2020-02-08,9,Vandalism
708,2020-02-09,3,Fraud
709,2020-02-09,14,Assault
710,2020-02-09,4,Vandalism
711,2020-02-09,12,Drugs
712,2020-02-10,5,Vandalism
713,2020-02-10,6,Drugs
714,2020-02-10,9,Fraud
715,2020-02-10,14,Assault
716,2020-02-11,9,Assault
717,2020-02-11,6,Fraud
718,2020-02-11,8,Drugs
719,2020-02-11,7,Vandalism
720,2020-02-12,10,Drugs
721,2020-02-12,6,Vandalism
722,2020-02-12,13,Assault
723,2020-02-12,5,Fraud
724,2020-02-13,5,Vandalism
725,2020-02-13,10,Fraud
726,2020-02-13,10,Assault
727,2020-02-13,8,Drugs
728,2020-02-14,12,Vandalism
729,2020-02-14,7,Drugs
730,2020-02-14,15,Assault
731,2020-02-14,14,Fraud
732,2020-02-15,3,Fraud
733,2020-02-15,10,Drugs
734,2020-02-15,18,Assault
735,2020-02-15,10,Vandalism
736,2020-02-16,5,Fraud
737,2020-02-16,3,Vandalism
738,2020-02-16,4,Drugs
739,2020-02-16,17,Assault
740,2020-02-17,3,Drugs
741,2020-02-17,12,Assault
742,2020-02-17,7,Vandalism
743,2020-02-17,7,Fraud
744,2020-02-18,9,Assault
745,2020-02-18,7,Vandalism
746,2020-02-18,11,Fraud
747,2020-02-18,9,Drugs
748,2020-02-19,10,Vandalism
749,2020-02-19,8,Fraud
750,2020-02-19,8,Drugs
751,2020-02-19,3,Assault
752,2020-02-20,12,Assault
753,2020-02-20,8,Vandalism
754,2020-02-20,10,Drugs
